formula,candidate_family,candidate_template,candidate_novelty_bucket,chemical_plausibility_pass,ranking_rank,proposal_shortlist_selected,proposal_shortlist_rank,extrapolation_shortlist_selected,extrapolation_shortlist_rank,bn_centered_ranking_rank,bn_centered_top_n_selected,rank_shift_general_minus_bn_centered,absolute_rank_shift_vs_bn_centered,structure_generation_seed_enabled,structure_generation_seed_label,structure_generation_seed_method,structure_generation_seed_candidate_scope,structure_generation_seed_note,structure_generation_candidate_selected,structure_generation_candidate_priority_reason,structure_generation_seed_limit,structure_generation_seed_rank,structure_generation_seed_source_column,structure_generation_seed_status,seed_reference_formula,seed_reference_record_id,seed_reference_source,seed_reference_formula_row_count,seed_reference_formula_mean_band_gap,seed_reference_band_gap,seed_formula_exact_element_match,seed_formula_shared_elements,seed_formula_candidate_only_elements,seed_formula_seed_only_elements,seed_formula_element_count_l1_distance,seed_formula_edit_strategy,seed_reference_energy_per_atom,seed_reference_exfoliation_energy_per_atom,seed_reference_total_magnetization,seed_reference_abs_total_magnetization,seed_reference_has_structure_summary,seed_reference_structure_n_sites,seed_reference_structure_lattice_a,seed_reference_structure_lattice_b,seed_reference_structure_lattice_c,seed_reference_structure_lattice_gamma,seed_reference_structure_inplane_area,seed_reference_structure_cell_height,seed_reference_structure_thickness,seed_reference_structure_vacuum,seed_reference_structure_areal_number_density,seed_reference_structure_thickness_fraction
BCN2,group14_bn_121_family,B1X1N2,formula_level_extrapolation,True,1,True,1.0,True,1.0,8,True,-7.0,7.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|extrapolation_shortlist|bn_centered_top_10,3,1,bn_analog_neighbor_formulas,ok,B2(CN2)3,4784,twod_matpd,1,2.6229,2.6229,True,B|C|N,,,7.0,same_elements_stoichiometry_adjustment,-8.426623217272727,,0.0,0.0,True,11.0,8.301245,8.298396,20.99754,60.1107,59.72441188940841,20.99753800000001,0.28699308953171787,20.710544910468293,0.18417929372613465,0.013667939999999892
BCN2,group14_bn_121_family,B1X1N2,formula_level_extrapolation,True,1,True,1.0,True,1.0,8,True,-7.0,7.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|extrapolation_shortlist|bn_centered_top_10,3,2,bn_analog_neighbor_formulas,ok,BC2N,3010,twod_matpd,1,0.8133000000000004,0.8133000000000004,True,B|C|N,,,2.0,same_elements_stoichiometry_adjustment,-8.34114048375,0.07658821875000044,0.0,0.0,True,8.0,4.99462,5.02387,20.54133,119.8052,21.773149600288885,20.541333000000005,0.012543564996448708,20.528789435003556,0.36742502333671817,0.0006106499999999369
BCN2,group14_bn_121_family,B1X1N2,formula_level_extrapolation,True,1,True,1.0,True,1.0,8,True,-7.0,7.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|extrapolation_shortlist|bn_centered_top_10,3,3,bn_analog_neighbor_formulas,ok,B3C10N3,3923,twod_matpd,1,0.8140000000000001,0.8140000000000001,True,B|C|N,,,12.0,same_elements_stoichiometry_adjustment,-8.47555185125,0.07173938218750031,0.0,0.0,True,16.0,5.01175,8.66048,20.0,90.0,43.40411938636181,20.0,0.0,20.0,0.368628605445856,0.0
TlBN2,group13_bn_121_family,X1B1N2,formula_level_extrapolation,True,2,True,2.0,True,2.0,1,True,1.0,1.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|extrapolation_shortlist|bn_centered_top_10,3,1,bn_analog_neighbor_formulas,ok,Si2BN,5977,twod_matpd,1,0.022399999999999753,0.022399999999999753,False,B|N,Tl,Si,4.0,element_substitution_or_decoration,-6.28884664625,,1e-07,1e-07,True,8.0,6.36856,6.456246,20.0,119.5509,35.768416415943804,20.000000000000007,0.0003751999999987987,19.999624800000007,0.22366100603866804,1.875999999993993e-05
TlBN2,group13_bn_121_family,X1B1N2,formula_level_extrapolation,True,2,True,2.0,True,2.0,1,True,1.0,1.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|extrapolation_shortlist|bn_centered_top_10,3,2,bn_analog_neighbor_formulas,ok,ZnB2(CN)8,5833,twod_matpd,1,5.220599999999999,5.220599999999999,False,B|N,Tl,Zn|C,17.0,element_substitution_or_decoration,-7.91125578,0.07912036684210477,0.0,0.0,True,19.0,7.53945,7.539443,29.78994,120.0,49.227727653829035,29.789942,9.778581230436199,20.0113607695638,0.3859613454760417,0.32825109999999996
TlBN2,group13_bn_121_family,X1B1N2,formula_level_extrapolation,True,2,True,2.0,True,2.0,1,True,1.0,1.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|extrapolation_shortlist|bn_centered_top_10,3,3,bn_analog_neighbor_formulas,ok,CuB2(CN)8,5425,twod_matpd,1,0.8841999999999999,0.8841999999999999,False,B|N,Tl,Cu|C,17.0,element_substitution_or_decoration,-7.946847921578947,0.0778643463157902,1.000019,1.000019,True,19.0,7.24908,7.5787,29.73709,118.5714,48.24829375309387,29.737090000000023,9.754433415041397,19.982656584958626,0.3937963090929334,0.3280224599999996
SiBN2,group14_bn_121_family,B1X1N2,formula_level_extrapolation,True,3,True,3.0,False,,5,True,-2.0,2.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|bn_centered_top_10,3,1,bn_analog_neighbor_formulas,ok,Si2BN,5977,twod_matpd,1,0.022399999999999753,0.022399999999999753,True,Si|B|N,,,2.0,same_elements_stoichiometry_adjustment,-6.28884664625,,1e-07,1e-07,True,8.0,6.36856,6.456246,20.0,119.5509,35.768416415943804,20.000000000000007,0.0003751999999987987,19.999624800000007,0.22366100603866804,1.875999999993993e-05
SiBN2,group14_bn_121_family,B1X1N2,formula_level_extrapolation,True,3,True,3.0,False,,5,True,-2.0,2.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|bn_centered_top_10,3,2,bn_analog_neighbor_formulas,ok,B2(CN2)3,4784,twod_matpd,1,2.6229,2.6229,False,B|N,Si,C,9.0,element_substitution_or_decoration,-8.426623217272727,,0.0,0.0,True,11.0,8.301245,8.298396,20.99754,60.1107,59.72441188940841,20.99753800000001,0.28699308953171787,20.710544910468293,0.18417929372613465,0.013667939999999892
SiBN2,group14_bn_121_family,B1X1N2,formula_level_extrapolation,True,3,True,3.0,False,,5,True,-2.0,2.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|bn_centered_top_10,3,3,bn_analog_neighbor_formulas,ok,BC2N,3010,twod_matpd,1,0.8133000000000004,0.8133000000000004,False,B|N,Si,C,4.0,element_substitution_or_decoration,-8.34114048375,0.07658821875000044,0.0,0.0,True,8.0,4.99462,5.02387,20.54133,119.8052,21.773149600288885,20.541333000000005,0.012543564996448708,20.528789435003556,0.36742502333671817,0.0006106499999999369
BN,bn_binary_anchor,B1N1,train_plus_val_rediscovery,True,4,True,4.0,False,,2,True,2.0,2.0,True,bn_structure_generation_seed_set,bn_analog_reference_exemplar,proposal_shortlist_plus_extrapolation_shortlist_plus_bn_centered_top_n,"Builds a structure-generation handoff artifact by attaching shortlisted BN candidates to nearby BN-containing train+val reference formulas and exemplar records with observed structures. This does not generate, relax, or validate new candidate structures; it only surfaces prototype seeds for downstream substitution, enumeration, or relaxation workflows.",True,proposal_shortlist|bn_centered_top_10,3,1,bn_analog_neighbor_formulas,ok,BN,4980,twod_matpd,3,4.584666666666667,4.6628,True,B|N,,,0.0,same_reduced_formula_reference,-8.78690031,,-0.0,0.0,True,2.0,2.509,2.508993,20.0,120.0001,5.451678918250477,19.999999999999993,0.0,19.999999999999993,0.36685946292703336,0.0
