feature_set,feature_family,candidate_compatible,n_features,model_type,benchmark_role,selected_by_validation,bn_slice_method,bn_slice_train_scope,bn_formula_count,bn_row_count,completed_holds,benchmark_status,benchmark_note,mae,rmse,r2,k_neighbors
fractional_composition_vector,composition_only,True,118,hist_gradient_boosting,selected_model,True,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.7491040406008227,2.047151739205604,-0.2883348423759229,
fractional_composition_vector,composition_only,True,118,bn_local_knn_mean,bn_local_reference_baseline,False,leave_one_bn_formula_out,bn_only_reference_formulas,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",2.0876944444444447,2.331996310378145,-0.671800307548273,3.0
fractional_composition_vector,composition_only,True,118,linear_regression,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.705430530176357,2.2795006935256423,-0.5973796236048727,
fractional_composition_vector,composition_only,True,118,torch_mlp_ensemble,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.4771887164078747,2.046779920100983,-0.28786689073747773,
fractional_composition_vector,composition_only,True,118,torch_roost_like,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.3783800869032148,1.9306215924846926,-0.1458374201905428,
matminer_composition,composition_only,True,19,hist_gradient_boosting,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.6158135114215646,1.9051293691884297,-0.1157775708592439,
matminer_composition,composition_only,True,19,linear_regression,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.5901535584666957,1.9383852191258837,-0.15507148288495554,
matminer_composition,composition_only,True,19,torch_mlp_ensemble,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.277326669070749,1.8781418411611819,-0.08438988735329689,
matminer_composition,composition_only,True,19,torch_roost_like,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,0,skipped_model_feature_incompatible,Skipped because torch_roost_like is currently defined only for the fractional_composition_vector feature set.,,,,
fractional_composition_vector,composition_only,True,118,dummy_mean,global_dummy_mean_baseline,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.3438901393433114,1.884247058797638,-0.09145133132255623,
